alpha	beta
-985700815	906206
-962404691	3765128
-961240165	302270
-960736831	2525810
-947478661	7154204
-942236693	20696828
-942097594	8308544
-939731242	19441526
-935557046	6965006
-928104058	5235422
-928046549	15405548
-925324246	18238946
-923968330	29244254
-923259835	24534122
-916291451	22714106
-913785980	14468576
-912541825	11402312
-907812506	6881414
-903917593	9254822
-900564694	41948870
-897616495	32874782
-886865998	4444538
-881487907	17466170
-880948361	36096404
-877129663	48728552
-872898655	38222474
-864186169	5617832
-862965740	30171056
-861990247	60456992
-861203825	24619334
-861170674	14873270
-856981538	51201392
-855463841	52326248
-854497969	9977126
-854471179	63183830
-852792154	65302052
-852394396	11134814
-850061582	2473250
-849217979	32205038
-848042606	44735036
-847819400	19150826
-843080095	39323138
-842928110	39401744
-842620981	58110980
-842226275	4163324
-841459058	59019116
-840617155	69685196
-839388661	42854864
-839386447	29143508
-835882639	36210326
-835344367	64199444
-833948434	38393600
-833520757	17112686
-831893323	40830404
-829597538	10994
-829237885	26469500
-827460791	44044286
-825018878	17891402
-821864474	2380856
-820921787	76970696
-819150983	10635548
-817454008	18423014
-817244153	3260714
-816849275	264074
-815954444	6616220
-815493511	21868322
-814997968	6638090
-813429424	76757522
-813375248	71270366
-812457712	34983860
-812257292	4676720
-811759561	25732148
-811469945	63027608
-811318825	7690028
-811028998	83913656
-810454570	38973254
-810342887	45412034
-810036485	58288334
-809901932	14228906
-808664915	31245494
-808290017	81513158
-807697373	6618524
-807490651	72166136
-807303728	85548254
-805447757	69068714
-805327976	68698166
-804965684	89135186
-804777977	35120876
-802311926	76878194
-802078007	23383418
-801520112	21340994
-801426212	72241502
-800945321	60071144
-800353519	37269212
-798252556	42429812
-796979743	91774058
-796522052	39460208
-791204579	43605716
-788726447	26210534
-787719697	18559724
-787586230	62249432
-787444372	95365454
-786677119	57600482
-784293457	59666468
-784097267	5305028
-783720668	3576110
-783536578	71551094
-783436882	22539182
-782531042	29850188
-779374844	86996102
-779090137	40912286
-778688218	5194328
-778526639	57552278
-777603659	10904360
-775374346	87762038
-772869443	53458340
-772717745	103732808
-772094672	7468340
-770671972	104046422
-770510779	41485748
-770113963	108698612
-767902984	38264378
-767427266	64213664
-766992865	94017704
-764929355	56362892
-763979101	75814970
-763610539	23981648
-763544044	3396794
-763256536	110901452
-763180214	44960648
-763157825	44913650
-763029965	67490996
-762286373	103834130
-762063206	91335020
-761323315	96770714
-760169005	83627096
-759462205	58499060
-759414631	105070532
-758507852	60633482
-758328680	13512596
-754946954	104374022
-754687162	78776780
-754026865	44181860
-753944497	69241136
-753924851	63888116
-753870250	77462978
-753435757	39538256
-750412873	84106958
-749476684	33779858
-748754608	39270002
-748546570	106496510
-748371056	118770332
-747592622	14086850
-747142994	5910260
-746377045	48337556
-743200141	53507588
-742735085	25590488
-741015763	43444904
-739730269	9163706
-739668832	31036946
-739072316	123513548
-739013708	46850072
-738509275	46704524
-737767219	37749452
-736337375	10190102
-735120076	24384830
-735106973	24968462
-734664053	54789530
-734249002	28549130
-734034016	91641686
-733998334	123616778
-733334621	66931592
-732222362	35658086
-731616128	24297350
-730886536	80715992
-729741887	101458382
-729689938	110321852
-728657804	100507802
-726999596	48101702
-726917039	113108540
-726733447	8472902
-725171468	30330698
-725149939	22380998
-722979944	56049566
-722688355	26669804
-722288599	94159796
-722199022	113969966
-721305250	9957974
-720420488	61027790
-720298015	92748092
-719535989	22666172
-719513590	106947356
-718063895	15203408
-717785219	125788424
-716802322	6698480
-716498473	100784894
-716059382	133364624
-714929513	29163650
-714567146	43095938
-714348577	119868746
-713656499	39392672
-713338814	74751260
-713080907	132355220
-711734867	56129522
-711290726	7780244
-710728370	43967768
-710489363	5456606
-710412436	9441158
-710108327	130345898
-709443769	127423814
-709443023	76952876
-708722635	117258746
-707095229	23994608
-706945444	138057260
-706181716	132672452
-705420709	1623632
-705341932	116517128
-704379431	35403332
-703716182	126062330
-702857582	58700264
-702673546	88268630
-700617758	2949062
-700142276	58414550
-699917996	134811698
-699209978	127217300
-698416787	58389404
-698363261	19890644
-698261480	135458978
-698058956	57993116
-697659125	59078804
-697595926	11221160
-697370602	98015414
-697275631	1667516
-697175006	77538110
-694681205	100313564
-694672067	39909326
-694010444	143428406
-693608206	89796992
-693269858	73404878
